paragraph_id,article_id,heading,text
AIB_0000_0001,AIB_0000,Что такое инвестиции?,"Деньги нужны, чтобы их тратить. Это понятно. Но вдруг вы копите на что-то важное? Или тратите меньше, чем зарабатываете? Что тогда происходит с вашими непотраченными деньгами? Они обесцениваются.
У денег есть скрытый враг — инфляция.
**Инфляция** — это рост цен на товары. Из-за него с каждым годом на одну и ту же сумму можно купить всё меньше товаров и услуг. То есть реальная стоимость денег со временем падает.
Инфляция есть в каждой стране и она постоянно меняется.
Посмотрите, что стало бы с деньгами, которые вы в 2010 году решили сохранить на будущее и выбирали бы из таких вариантов:
- Хранить 50 000 рублей дома (это надёжнее всего, деньги всегда при мне).
- Положить 50 000 рублей на депозит в банк под 4,5% годовых (вклад застрахован, а деньги приносят доход).
- Купить на 50 000 рублей акции (например, Лукойла: компания большая, и бензин у неё хороший).
Что бы вы ни выбрали, инфляция будет обесценить ваши сбережения. Главный вопрос — насколько у неё это получится.
За последние 11 лет инфляция в России составила 101,83% (это данные Росстата с января 2010 до января 2021). А значит мы можем проследить судьбу отложенных в 2010 году 50 000 рублей."
AIB_0000_0002,AIB_0000,## **Что это за числа и почему вдруг такой результат?**,"🔐 **Хранили дома** Несмотря на то, что деньги вы не тратили, они обесценились — их реальная стоимость из-за инфляции уменьшилась вдвое. То, что вы могли купить в 2010 году на 50 000 рублей, теперь уже не купишь. В реальности вы сохранили только 24 773 рублей.
🏦 **Положили на депозит** К вашей сумме за эти годы добавилось 31 142 рублей дохода по процентам. Но из-за инфляции, съевшей за 11 лет половину вашего стартового взноса, реальный доход — всего 5915 рубля.
📃 **Купили акции Лукойла** Ваши вложенные 50 000 рублей так же обесценились за эти годы. Но рост стоимости акций перекрыл эти потери, и вы не просто защитили деньги от инфляции, а получили реальную и хорошую прибыль. Почему так? Из-за роста цен на товары компании зарабатывают всё больше, и от этого их акции дорожают.
Несмотря на то, что инфляция для экономики — нормальное явление, обычному человеку она мешает копить и обесценивает его деньги.
Бизнесу инфляция, наоборот, помогает больше зарабатывать. Поэтому с помощью инвестиций в бизнес можно обогнать инфляцию и получить доход — если правильно подобрать инструменты."
AIB_0001_0003,AIB_0001,Где и во что можно инвестировать?,"Площадка, где идёт торговля ценными бумагами — их продажа и покупка — называется биржа. По сути биржа работает как обычный рынок, где цены зависят от спроса и предложения, а продавцы и покупатели ищут свою выгоду.
Когда-то ценные бумаги были настоящими бумажными документами, их передавали из рук в руки на биржах. А биржа до 1986 года была не электронной площадкой, а местом сбора финансистов-брокеров. Там они выкрикивали предложения купить или продать бумагу или партию товара и заключали сделки. Традиция до сих пор сохранилась на Чикагской товарной бирже, однако большинство торгов и там проходят в электронном формате.
Биржи есть практически в каждой стране: например в США — The New York Stock Exchange (NYSE) и биржа NASDAQ, где торгуются в основном акции высокотехнологичных компаний. В Великобритании основная биржа London Stock Exchange (LSE). В России — Московская и СПБ биржа. На Московской бирже торгуются бумаги российских компаний и некоторых зарубежных. А в основном операции с иностранными акциями проводятся на СПБ бирже."
AIB_0001_0004,AIB_0001,# **Кто торгует на бирже?**,"Продавцами на бирже могут быть сами компании, которые выпускают ценные бумаги и размещают их через биржу (их называют эмитенты), или инвесторы, купившие эти бумаги. Покупателями могут быть и люди, и компании.
Но действовать на бирже самостоятельно они не могут — и тем и другим нужен профессиональный посредник, который помогает заключить и безопасно провести сделку. Этим посредником для инвесторов является брокер."
AIB_0001_0005,AIB_0001,### **Что делает брокер:**,"1. Открывает инвесторам [счета](https://alfabank.ru/make-money/investments/brokerskij-schyot/) и регистрирует их на бирже.
2. Показывает, как идут торги.
3. Отправляет заявки клиентов на биржу.
4. Обеспечивает расчёты по сделкам: перечисляет ценные бумаги и деньги.
5. Ведёт отчёты о сделках, которые всегда можно посмотреть в личном кабинете.
6. Отчитывается перед налоговой службой за клиента."
AIB_0001_0006,AIB_0001,# **Можно ли доверять брокеру?**,"Да, можно. И вот три причины для этого:
- Современный брокер — это не отдельный человек, а организация, у которой есть лицензия Центрального банка на брокерскую деятельность. Проверить лицензию брокера можно в [списке Центробанка](https://www.cbr.ru/registries/rcb/).
- ЦБ следит за тем, как брокер соблюдает закон «О рынке ценных бумаг».
- Брокер хранит ваши ценные бумаги в депозитарии. Депозитарий — это виртуальное хранилище, в котором ведётся учёт прав на ценные бумаги. Депозитарий работает только с брокерскими организациями.
Когда вы решите начать инвестировать, нужно выбрать брокера, открыть у него счёт, перечислить туда деньги и подать заявку на сделку. Для этого не придётся куда-то ехать или кому-то звонить. Теперь брокеры работают с клиентами онлайн, как например в приложении Альфа-Инвестиции. Там инвестору доступны все операции."
AIB_0001_0007,AIB_0001,# **Во что можно вложить деньги на бирже?**,"На фондовых биржах через приложение Альфа-Инвестиции можно купить и продать акции, облигации, биржевые фонды и валюту. О каждом типе ценной бумаги, её выгодах и рисках вы узнаете на следующих шагах. А тут лишь их главные особенности."
AIB_0001_0008,AIB_0001,### **Акция**,"Это ценная бумага, которая делает вас совладельцем бизнеса компании. Вы имеете право получать часть её прибыли в виде дивидендов и участвовать в управлении как акционер. А можете продать акцию и получить прибыль — если акция за это время подорожала. Цены акций на бирже называются котировками.
⬆️ Доход 🔴 Риск"
AIB_0001_0009,AIB_0001,### **Облигация**,"Это долговая расписка с обязательством уплатить проценты (купоны). Вы даёте деньги в долг компании или государству и получаете за это доход — купонные выплаты. Когда наступает срок, деньги возвращаются владельцу облигации. Облигации бывают в рублях и валюте.
➡️ Доход 🟢 Риск"
AIB_0001_0010,AIB_0001,### **Биржевые фонды**,"Биржевые фонды похожи на готовые наборы ценных бумаг: инвестиционные компании собирают привлекательные активы в один фонд, делят его на доли (ценные бумаги фонда — паи) и продают их на бирже инвесторам.
↗️ Доход 🟡 Риск"
AIB_0003_0011,AIB_0003,Стоит купить акции?,"Прежде чем принимать решение о покупке ценной бумаги хорошо бы разобраться, что именно вы покупаете и зачем оно вам вообще. Мы объясняем, а вы — решаете.
⬆️ Доход 🔴 Риск"
AIB_0003_0012,AIB_0003,# **Что такое акция?**,"Когда компании нужны деньги для развития или новых проектов, она может взять их в долг. Но есть другой путь — продать акции компании, и тогда эти деньги не надо будет никому возвращать.
Для этого компания становится акционерным обществом: разбивает свой капитал на маленькие порции (акции) и продаёт их. Акции публичных акционерных обществ потом можно свободно покупать и продавать на бирже — поэтому компании и называются «публичные».
[**Акция**](https://alfabank.ru/make-money/investments/catalog/akcii/) — это ценная бумага, которая даёт инвестору право на владение частью бизнеса и на получение части прибыли компании (дивидендов). А также право голосовать на собрании акционеров при принятии важных решений. Преимущество акции в том, что она может принести инвестору высокий доход при перепродаже. Но и риск тоже немаленький."
AIB_0003_0013,AIB_0003,# **Какие акции бывают?**,Акции бывают обыкновенные и привилегированные. В приложении Альфа-Инвестиции вид обозначен аббревиатурами — АО и АП. Права акционера и его доход зависят от типа [акции](https://alfabank.ru/make-money/investments/catalog/akcii/).
AIB_0003_0014,AIB_0003,# **Как зарабатывают на акциях?**,"Самый простой, но не самый выгодный способ — дождаться дивидендов.
Но компании не всегда их выплачивают: иногда они направляют всю прибыль на развитие бизнеса. Платить дивиденды или нет решают сами акционеры на общем собрании.
Если компания решила выплатить дивиденды, она называет дату составления списка акционеров для получения выплаты — реестра.
☝️ Чтобы попасть в реестр и получить дивиденды, акцию нужно купить минимум за два рабочих дня до объявленной даты закрытия реестра. Это связано с режимом торгов биржи: когда вы покупаете акцию, то вы становитесь её владельцем не сразу, а только через два рабочих дня.
Самый распространённый и прибыльный способ заработать на акции — просто продать её дороже, чем покупали. Если вы купили акцию за 1000 рублей, то через месяц она будет стоить уже 1050 рублей, на её продаже можно заработать 50 рублей. Сумма маленькая, а между тем это доходность 60% годовых!
Но для успеха требуется расчёт и везение — ведь надо выбрать ту акцию, которая будет дорожать. И правильно выбрать момент, когда её пора продать."
AIB_0003_0015,AIB_0003,# **Почему меняется цена акций?**,"Цены акций меняются благодаря спросу и предложению о инвесторов. И зависят от их оценок и ожиданий. Если инвесторы считают, что у компании хорошие перспективы и она пока недооценена по сравнению с конкурентами, они покупают её акции в расчёте заработать на их росте. И от повышения спроса цена действительно начинает расти. А падает она, когда многие инвесторы считают, что компания переоценена или видят новые риски для её бизнеса — и начинают продавать акции.
Текущая цена акции на бирже называется котировкой. Котировки компаний, чьи акции популярны у инвесторов, меняются постоянно. Потому что всегда находятся желающие купить или продать бумаги."
AIB_0003_0016,AIB_0003,### **Показатели компании**,"Если инвесторы ждут, что компания покажет в отчёте рост выручки, прибыли или объявит большие дивиденды — это повод покупать акции. Если реальные показатели превзойдут ожидания инвесторов — котировки точно вырастут. Если ожидания не оправдаются, то начнётся снижение.
Вот обратная ситуация: компания [Amazon](https://alfabank.ru/make-money/investments/catalog/t/akcii/AMZN/) не оправдала ожидания инвесторов, и когда они опубликовали отчёт 29 июля, их акции снизились на 8%."
AIB_0003_0017,AIB_0003,### **Новости: хорошие и не очень**,"Котировки компаний зависят и от событий, которые могут оказать влияние на её бизнес. Но у некоторых популярных компаний почти каждое событие приводит к колебаниям котировок. Например [Virgin Galactic](https://alfabank.ru/make-money/investments/catalog/t/akcii/SPCE/): из-за переноса тестового суборбитального полёта акции компании падали, а на новостях об успешном полете её основателя Ричарда Брэнсона наоборот — росли.
25 июня стало известно, что Брэнсон полетит на 9 дней раньше своего конкурента — Джеффа Безоса (Amazon, Blue Origin). Акции Virgin Galactic выросли на 39%.
После полёта 11 июля, когда компания объявила о дополнительном выпуске акций, её котировки упали:
Торговать акциями компании на основании новостей очень непросто. Следить за событиями и быстро реагировать — это тоже работа. И она не для новичка."
AIB_0003_0018,AIB_0003,### **Политические события**,"На стоимость акций может влиять общая ситуация, не связанная с конкретной компанией. Например, когда из-за политических рисков инвесторы начинают выводить деньги из какой-либо страны и продают все акции ее компаний. Из-за большого объема продаж котировки падают.
По фондовому рынку бьют и международные санкции. Например, в 2019 году США пригрозили Китаю, что уберут акций китайских компаний с биржи. Инвесторы отреагировали так: котировки [Alibaba](https://alfabank.ru/make-money/investments/catalog/t/akcii/BABA/) упали на 9,02%, JD.com — почти на 6%."
AIB_0004_0019,AIB_0004,Стоит купить облигации?,"Пожалуй, повторим: прежде чем принимать решение о покупке хорошо бы разобраться, что именно вы покупаете и зачем оно вам. Мы объясняем, а вы — решаете.
➡️ Доход 🟢 Риск"
AIB_0004_0020,AIB_0004,# **Что такое облигации?**,"Если какая-то компания, целый регион или даже страна хотят привлечь деньги на развитие — они могут занять в банке, а могут взять в долг у многих инвесторов. Для этого и выпускают [облигации](https://alfabank.ru/make-money/investments/catalog/obligacii/).
**Облигация** — это долговая ценная бумага, обязательство вернуть деньги к точному сроку и выплачивать проценты. Покупатели таких бумаг дают в долг тому, кто их выпустил (эмитенту), и зарабатывают на купонах — так называются проценты по облигациям.
Преимущество облигации — заранее известны сроки, когда инвестору будут выплачивать купоны и вернут деньги. Этим облигация похожа на банковский депозит, но доход по облигациям обычно выше."
AIB_0004_0021,AIB_0004,# **Как купить облигации?**,"Можно купить облигации напрямую у эмитента. Для этого надо поучаствовать в процессе, который называется «первичное размещение»: эмитент собирает заявки от инвесторов и потом продаёт им бумаги. При подготовке размещения и до начала биржевых торгов цена облигации не меняется.
А можно купить уже размещённые облигации у других инвесторов на бирже, но уже по рыночной цене."
AIB_0004_0022,AIB_0004,### **Сроки**,"У облигации есть две важные даты: дата выпуска облигации и дата погашения облигации. Дата выпуска — день, когда компания размещает облигацию и берёт деньги в долг. Дата погашения облигации — день, когда компания возвращает долг инвесторам. Ещё у облигаций есть дата оферты — это дата, когда компания может вернуть деньги инвесторам досрочно."
AIB_0004_0023,AIB_0004,### **Номинал**,"Номинал — это та сумма, которую взяли в долг по этой ценной бумаге. Российские компании обычно выпускают облигации по 1000 ₽, в иностранной валюте это обычно бумаги по 1000 $ и 1000 €. В дату погашения облигации компания выплачивает владельцу бумаги именно её номинал."
AIB_0004_0024,AIB_0004,### **Купон**,"Купон — это процент от номинала, который компания платит инвестору за пользование его деньгами. Даты выплаты купонов известны сразу."
AIB_0004_0025,AIB_0004,### **Накопленный купонный доход**,"[НКД](https://alfabank.ru/make-money/investments/learn/t/chto-takoe-nkd-po-obligatsiyam-kak-poluchat-protsenti-kazhdii-den/) — часть следующей купонной выплаты, которая накопилась с момента последней выплаты по облигации.
Например, у инвестора есть облигация, по которой через 3 месяца положен купон. Если он держит облигацию до даты выплаты — получит всю сумму купона. А если инвестор хочет продать облигацию между выплатами, то следующий купон он уже не получит. Но ведь облигация у него была в собственности какое-то время, а значит есть права на какую-то часть следующего купона! Эту накопившуюся часть купона (НКД) оплатит ему покупатель облигации."
AIB_0004_0026,AIB_0004,### **Цена облигации**,"Цены на облигации указаны не в рублях, а в процентах. Рассчитать их очень просто: 1000 рублей — это 100%. Если цена облигации составляет 99,7%, вы заплатите за неё 997 рублей."
AIB_0004_0027,AIB_0004,# **Как заработать на облигации?**,"Самый простой, но не самый выгодный способ — зарабатывать на купонах. Допустим, владельцу стартапа нужно 100 000 рублей для доработки сайта. Он выпустил и продал 100 облигаций по 1000 рублей. Условия облигации такие:
-
срок действия облигации — 3 года,
-
ставка по купону — 8% годовых,
-
период выплаты — раз в полгода.
Хозяин стартапа через три года вернёт владельцу облигации 1000 рублей, а ещё будет выплачивать по 4% долга (это 40 рублей) каждые шесть месяцев. Вы будете получать по 80 рублей в год, а за три года набежит уже 240 рублей по тысячерублёвой облигации.
Более выгодный, но и более сложный способ — заработать на продаже.
Владелец облигации не обязан дожидаться срока её погашения. Он может продать облигацию в любой момент на бирже. Тогда он получит от покупателя рыночную цену облигации и накопленный купонный доход, а ещё ему останутся уже полученные купонные выплаты.
Облигации на бирже не всегда стоят ровно 1000 рублей — из-за спроса и предложения рыночная цена может быть меньше или больше номинала.
-
**Цена меньше номинала.** Облигация на бирже стоит 950 рублей, но в конце срока по ней будет выплачено 1000 рублей. Тогда ваш доход от сделки — это 50 рублей разницы между ценой и номиналом и ещё все оставшиеся выплаты по купонам.
-
**Цена больше номинала.** Облигация на бирже стоит 1050 рублей, но в конце срока эмитент вернёт только сумму номинала — 1000 рублей. Зачем такое покупать? Только если оставшиеся купонные выплаты по облигации компенсируют эту разницу."
AIB_0004_0028,AIB_0004,### **Надёжность эмитента**,"У облигации тоже есть риски — например, выпустивший её эмитент может не заработать достаточно, чтобы вернуть долг. Поэтому облигации дешевеют, если происходит что-то, плохо влияющее на финансовое положение эмитента. Все облигации имеют рейтинг надёжности, которую определяют рейтинговые агентства, такие как «Эксперт РА» или АКРА.
Самые надёжные облигации — государственные, так как риск банкротства государства минимален. В России такие облигации выпускает, например, Министерство финансов и регионы. ОФЗ — облигации федерального займа — самые надёжные. Но чем ниже риск, тем ниже и доходность.
Следующие по надёжности — корпоративные облигации крупных компаний. Их выпускают и промышленные компании, и банки, например, Альфа⁠-⁠Банк и Роснефть. Ставка купона по ним выше — потому что выше и риск, что у эмитента начнутся финансовые проблемы, и он не сможет расплатиться. Хотя этот риск невелик, он всё-таки есть. А корпоративные облигации среднего и мелкого бизнеса называются высокодоходными: по ним и доход, и риск более высокие, чем в предыдущих случаях.
☝️ Если компания предлагает большие купоны, или её облигации сильно подешевели — значит велики и риски, а не только выгода."
AIB_0004_0029,AIB_0004,### **Ключевая ставка**,"Ключевая ставка — это ставка по которой ЦБ даёт деньги в долг банкам. Когда ЦБ повышает ключевую ставку, вслед за ней растут ставки банков по кредитам и депозитам. Тогда облигации становятся менее выгодны по сравнению с депозитами, спрос на облигации снижается, и они дешевеют. Если же ключевая ставка снижается, то всё происходит наоборот."
AIB_0005_0030,AIB_0005,Стоит купить биржевые фонды?,"Если облигации и акции кажутся вам сложными инструментами, а инвестировать всё-таки хочется, на рынке есть готовые решения — паевые инвестиционные фонды [(ПИФ)](https://alfabank.ru/make-money/investments/pifs/). Они похожи на наборы ценных бумаг, а собирают их профессионалы — управляющие компании. Чтобы управляющая компания могла создавать фонды, у неё тоже должна быть лицензия Центрального Банка.
Работает это примерно так: управляющая компания покупает в свой фонд акции компаний, например, технологического сектора и называет этот фонд «Портфель технологий». Далее управляющая продаёт паи (акции фонда) инвесторам напрямую или размещает на бирже, если это биржевой фонд."
AIB_0005_0031,AIB_0005,# **Какие бывают фонды?**,"Фондов на рынке много и все они собираются по критериям, которые выбрала управляющая компания. Например, некоторые фонды собираются из бумаг определённой отрасли — технологии, промышленность, банковский сектор и т. д. Другие фонды инвестируют в целые экономики: Россия, США или Китай. Ещё есть фонды, содержимое которых повторяет биржевой индекс какой-то страны или отрасли, и тогда цена пая меняется вслед за индексом.
Индексы рассчитываются по котировкам крупных компаний, отражающих состояние экономики страны, или по компаниям отдельных отраслей.
Например, в индекс S&P 500 входят 500 крупнейших компаний американского рынка, а старейший индекс Dow Jones Industrial включает 30 крупнейших промышленных компаний.
Есть индексы, которые рассчитываются на базе котировок основных акций на какой-либо бирже, как например, американский Nasdaq Composite или индекс Московской биржи MOEX.
Активы, которые может приобретать фонд, перечислены в его инвестиционной декларации."
AIB_0005_0032,AIB_0005,# **Как заработать на фондах?**,"Инвестиции в фонд приносят прибыль благодаря росту стоимости пая. Управляющие компании ежедневно рассчитывают цену пая по котировкам бумаг фонда и дают возможность купить или продать пай по этой цене, оставляя себе комиссию.
☝️ Но если УК разместила паи фонда на бирже, их можно купить или продать в любой момент уже по биржевой цене. Такие фонды называются биржевыми паевыми фондами (БПИФ)."
AIB_0005_0033,AIB_0005,# **Что влияет на цену пая?**,"Если включённые в фонд ценные бумаги растут в цене — фонд богатеет, а пай дорожает. А если котировки бумаг падают, то снижается и цена пая. Но как правило, падение одних котировок компенсируется ростом других бумаг фонда. А управляющие корректируют вложения фонда, чтобы увеличить его стоимость.
На цену паёв биржевого фонда влияет ещё и спрос, и предложение на сам пай на бирже. Но даже при биржевых сделках инвесторы тоже смотрят и на расчётную цену пая, основанную на цене бумаг фонда (за ней можно следить на [сайте Мосбиржи](https://www.moex.com/ru/index/inav)). Фонды обычно не выплачивают дивиденды и купоны своим инвесторам, а реинвестируют средства — то есть покупают на них ещё больше бумаг."
AIB_0008_0034,AIB_0008,Что надо делать?,"Если вы уже открыли брокерский счёт (почему он необходим говорили на [шаге 2](https://alfabank.ru/make-money/investments/learn/mifs/)) и перечислили на него сумму для инвестиций, можно приступать к пополнению своего портфеля.
С выбором покупок могут помочь готовые целевые подборки ценных бумаг, составленные экспертами Альфа-Банка. А можете сами выбрать нужную ценную бумагу в разделе Рынки."
AIB_0008_0035,AIB_0008,# **Как рассчитать сделку?**,"Прицениваясь к бумагам, надо иметь в виду, что денег на покупку может понадобится гораздо больше, чем стоит одна бумага. Не все из них продаются по одной штуке.
С выбором покупок могут помочь готовые целевые подборки ценных бумаг, составленные экспертами Альфа-Банка. А можете сами выбрать нужную ценную бумагу в разделе Рынки.
Вся торговля на бирже идет лотами. Лот — это минимальное количество ценных бумаг или валюты, по которому можно заключить сделку. Лоты бывают 1 к 1 — когда 1 лот равен 1 бумаге, а бывает, что в 1 лоте — 10 000 акций как у ВТБ. И если в одном лоте акций ВТБ — 10 000 бумаг, купить только 2000 из них никак не получится.
Когда вы выбрали подходящую по сумме бумагу, на неё нужно подать заявку. Котировка показывает самую выгодную цену сейчас на рынке, однако сделка в итоге может обойтись дороже — не по чьей-то вине, а потому что так устроены торги.
☝️Если вы выставляете рыночную заявку, биржа автоматически исполняет её по лучшей цене, которая есть сейчас на рынке. Но выгодное предложение может уйти за те секунды, что оформляется ваша заявка. Тогда она выполнится по другой цене.
Если лучшее предложение окажется по объёму меньше вашей заявки, то в сделку включается и следующее по цене предложение, и то, что за ним. Рыночная заявка будет исполнена в любом случае и по лучшей из доступных цен. Но она может оказаться выше, чем вы рассчитывали.
Когда вы только начинаете торговать, на это можно не обращать внимание, особенно если выбираете ликвидные бумаги, которыми активно торгуют — с ними возможное изменение итоговой цены сделки вряд ли будет большим.
Посмотреть цены и объёмы по выбранной бумаге, которые есть сейчас на бирже, можно в биржевом стакане в приложении Альфа-Инвестиции."
AIB_0008_0036,AIB_0008,# **Стакан — помощник инвестора**,"Так называется таблица предложений на покупку и продажу: сверху стакана расположены предложения на продажу (красные), снизу — спрос на покупку (зелёные). По бокам стакана видна и величина заявки — сколько бумаг или лотов предлагается для сделки. Она указана по бокам стакана.
Допустим, вы видите котировку Газпрома по 361,01 рублей и хотите купить 1000 лотов. Но если заглянуть в стакан, то подходящих предложений там нет — зато есть предложение на продажу 55 лотов, 118 лотов, 329 лотов и т. д., причём по разным ценам. Поэтому, если вы выставите рыночную заявку на покупку сразу 1000 лотов, то она выполнится полностью, но по разным ценам. Попасть в стакан можно через раздел Рынки → Бумага → Стакан:
☝️ Стакан покажет вам, сколько лотов и по каким ценам можно купить. Вы можете выставить заявку на тот объём, который укладывается в ваше понимание разумной цены для покупки."
AIB_0008_0037,AIB_0008,# **Как поставить ограничения?**,"Есть механизм, позволяющий выставить заявку на сделку по своей цене, и если вам повезёт — она исполнится. Это «лимитная заявка». Её выставляют, чтобы купить ценную бумагу не дороже (или продать не дешевле) определённой цены.
Например, акции Газпрома сейчас стоят 360 рублей, а вы хотите купить их не дороже 358 рублей. Вы можете сами ловить момент, когда цена снизится до нужного уровня, а можете выставить лимитную заявку — она исполнится автоматически, как только цена станет подходящей.
Лимитная заявка на продажу работает так же, но в обратную сторону: брокер продаст вашу ценную бумагу по вашей цене или дороже. На скриншоте видно, что мы выставили цену меньше рыночной:
☝️ Особенность лимитной заявки в том, что она может исполнится частично, если подходящих для сделки предложений не хватило."
AIB_0008_0038,AIB_0008,# **Как сделать заявку в приложении,"Альфа-Инвестиции.**
1. Зайдите в Рынки.
2. Выберите Акции.
3. Нажмите на акцию, которую хотите купить.
4. Нажмите Заявка.
5. Выберите, что хотите сделать с акцией — купить или продать.
6. Выберите Тип заявки — рыночная или лимитная.
7. Укажите количество лотов или бумаг.
8. Нажмите Купить или Продать.
После этого заявка уходит на биржу. Как только она будет исполнена, вы получите пуш-уведомление. Проверить исполнение заявки можно в разделе Портфель → Сделки."
